group,metric,model,value,format,direction,description
Adherence buckets,Valid math (≥1 verifiably correct equation),SmolLM2,8.12,%,higher,"Output contains at least one arithmetic statement of the form N op N = N where the math checks out (e.g., 120 × 5 = 600). Mutually exclusive with the other adherence buckets."
Adherence buckets,Valid math (≥1 verifiably correct equation),Qwen3,30.16,%,higher,"Output contains at least one arithmetic statement of the form N op N = N where the math checks out (e.g., 120 × 5 = 600). Mutually exclusive with the other adherence buckets."
Adherence buckets,Valid math (≥1 verifiably correct equation),Llama 3.2,22.55,%,higher,"Output contains at least one arithmetic statement of the form N op N = N where the math checks out (e.g., 120 × 5 = 600). Mutually exclusive with the other adherence buckets."
Adherence buckets,Valid math (≥1 verifiably correct equation),Gemma 3,13.72,%,higher,"Output contains at least one arithmetic statement of the form N op N = N where the math checks out (e.g., 120 × 5 = 600). Mutually exclusive with the other adherence buckets."
Adherence buckets,Valid math (≥1 verifiably correct equation),Falcon 3,16.86,%,higher,"Output contains at least one arithmetic statement of the form N op N = N where the math checks out (e.g., 120 × 5 = 600). Mutually exclusive with the other adherence buckets."
Adherence buckets,Valid math (≥1 verifiably correct equation),Granite 3,12.06,%,higher,"Output contains at least one arithmetic statement of the form N op N = N where the math checks out (e.g., 120 × 5 = 600). Mutually exclusive with the other adherence buckets."
Adherence buckets,Wrong math (equations but none correct),SmolLM2,3.49,%,lower,"Output contains at least one N op N = N statement but every such equation is arithmetically wrong (e.g., 3 × 5 = -15)."
Adherence buckets,Wrong math (equations but none correct),Qwen3,6.41,%,lower,"Output contains at least one N op N = N statement but every such equation is arithmetically wrong (e.g., 3 × 5 = -15)."
Adherence buckets,Wrong math (equations but none correct),Llama 3.2,5.49,%,lower,"Output contains at least one N op N = N statement but every such equation is arithmetically wrong (e.g., 3 × 5 = -15)."
Adherence buckets,Wrong math (equations but none correct),Gemma 3,4.79,%,lower,"Output contains at least one N op N = N statement but every such equation is arithmetically wrong (e.g., 3 × 5 = -15)."
Adherence buckets,Wrong math (equations but none correct),Falcon 3,4.8,%,lower,"Output contains at least one N op N = N statement but every such equation is arithmetically wrong (e.g., 3 × 5 = -15)."
Adherence buckets,Wrong math (equations but none correct),Granite 3,4.88,%,lower,"Output contains at least one N op N = N statement but every such equation is arithmetically wrong (e.g., 3 × 5 = -15)."
Adherence buckets,"Implicit math (operators, no closed equation)",SmolLM2,14.95,%,neutral,"Output contains arithmetic operators directly between numbers (e.g., '120 × 5') or LaTeX math commands (\times, \frac, \cdot) but no fully closed N op N = N equation."
Adherence buckets,"Implicit math (operators, no closed equation)",Qwen3,39.37,%,neutral,"Output contains arithmetic operators directly between numbers (e.g., '120 × 5') or LaTeX math commands (\times, \frac, \cdot) but no fully closed N op N = N equation."
Adherence buckets,"Implicit math (operators, no closed equation)",Llama 3.2,24.93,%,neutral,"Output contains arithmetic operators directly between numbers (e.g., '120 × 5') or LaTeX math commands (\times, \frac, \cdot) but no fully closed N op N = N equation."
Adherence buckets,"Implicit math (operators, no closed equation)",Gemma 3,16.52,%,neutral,"Output contains arithmetic operators directly between numbers (e.g., '120 × 5') or LaTeX math commands (\times, \frac, \cdot) but no fully closed N op N = N equation."
Adherence buckets,"Implicit math (operators, no closed equation)",Falcon 3,45.8,%,neutral,"Output contains arithmetic operators directly between numbers (e.g., '120 × 5') or LaTeX math commands (\times, \frac, \cdot) but no fully closed N op N = N equation."
Adherence buckets,"Implicit math (operators, no closed equation)",Granite 3,32.09,%,neutral,"Output contains arithmetic operators directly between numbers (e.g., '120 × 5') or LaTeX math commands (\times, \frac, \cdot) but no fully closed N op N = N equation."
Adherence buckets,Numeric but no math,SmolLM2,50.41,%,lower,"Output contains digits but no arithmetic operator at all. Numbers appear as quantities, years, or counts without any computation."
Adherence buckets,Numeric but no math,Qwen3,23.98,%,lower,"Output contains digits but no arithmetic operator at all. Numbers appear as quantities, years, or counts without any computation."
Adherence buckets,Numeric but no math,Llama 3.2,46.35,%,lower,"Output contains digits but no arithmetic operator at all. Numbers appear as quantities, years, or counts without any computation."
Adherence buckets,Numeric but no math,Gemma 3,57.24,%,lower,"Output contains digits but no arithmetic operator at all. Numbers appear as quantities, years, or counts without any computation."
Adherence buckets,Numeric but no math,Falcon 3,30.4,%,lower,"Output contains digits but no arithmetic operator at all. Numbers appear as quantities, years, or counts without any computation."
Adherence buckets,Numeric but no math,Granite 3,49.06,%,lower,"Output contains digits but no arithmetic operator at all. Numbers appear as quantities, years, or counts without any computation."
Adherence buckets,No math content (zero digits),SmolLM2,23.03,%,lower,Output contains no digits at all. The dog-sunburn example above is one of these.
Adherence buckets,No math content (zero digits),Qwen3,0.08,%,lower,Output contains no digits at all. The dog-sunburn example above is one of these.
Adherence buckets,No math content (zero digits),Llama 3.2,0.68,%,lower,Output contains no digits at all. The dog-sunburn example above is one of these.
Adherence buckets,No math content (zero digits),Gemma 3,7.73,%,lower,Output contains no digits at all. The dog-sunburn example above is one of these.
Adherence buckets,No math content (zero digits),Falcon 3,2.14,%,lower,Output contains no digits at all. The dog-sunburn example above is one of these.
Adherence buckets,No math content (zero digits),Granite 3,1.91,%,lower,Output contains no digits at all. The dog-sunburn example above is one of these.
Arithmetic correctness,Per-equation arithmetic accuracy,SmolLM2,57.27874276261373,%,higher,"Of every extracted N op N = N equation across all 10,000 outputs, the percentage that are arithmetically correct (tolerance 0.01 or 0.01% of the expected value, to absorb tiny rounding)."
Arithmetic correctness,Per-equation arithmetic accuracy,Qwen3,78.85572139303483,%,higher,"Of every extracted N op N = N equation across all 10,000 outputs, the percentage that are arithmetically correct (tolerance 0.01 or 0.01% of the expected value, to absorb tiny rounding)."
Arithmetic correctness,Per-equation arithmetic accuracy,Llama 3.2,71.56268568033273,%,higher,"Of every extracted N op N = N equation across all 10,000 outputs, the percentage that are arithmetically correct (tolerance 0.01 or 0.01% of the expected value, to absorb tiny rounding)."
Arithmetic correctness,Per-equation arithmetic accuracy,Gemma 3,68.05922792173453,%,higher,"Of every extracted N op N = N equation across all 10,000 outputs, the percentage that are arithmetically correct (tolerance 0.01 or 0.01% of the expected value, to absorb tiny rounding)."
Arithmetic correctness,Per-equation arithmetic accuracy,Falcon 3,71.13482561166059,%,higher,"Of every extracted N op N = N equation across all 10,000 outputs, the percentage that are arithmetically correct (tolerance 0.01 or 0.01% of the expected value, to absorb tiny rounding)."
Arithmetic correctness,Per-equation arithmetic accuracy,Granite 3,61.82919792267744,%,higher,"Of every extracted N op N = N equation across all 10,000 outputs, the percentage that are arithmetically correct (tolerance 0.01 or 0.01% of the expected value, to absorb tiny rounding)."
Problem shape,Question word + numeric answer,SmolLM2,43.01,%,higher,"Output contains a question cue ('how many', 'what is', 'calculate', 'find', 'compute', 'determine', etc.) AND has at least one digit in its final 200 characters."
Problem shape,Question word + numeric answer,Qwen3,94.37,%,higher,"Output contains a question cue ('how many', 'what is', 'calculate', 'find', 'compute', 'determine', etc.) AND has at least one digit in its final 200 characters."
Problem shape,Question word + numeric answer,Llama 3.2,86.61999999999999,%,higher,"Output contains a question cue ('how many', 'what is', 'calculate', 'find', 'compute', 'determine', etc.) AND has at least one digit in its final 200 characters."
Problem shape,Question word + numeric answer,Gemma 3,58.56,%,higher,"Output contains a question cue ('how many', 'what is', 'calculate', 'find', 'compute', 'determine', etc.) AND has at least one digit in its final 200 characters."
Problem shape,Question word + numeric answer,Falcon 3,63.81,%,higher,"Output contains a question cue ('how many', 'what is', 'calculate', 'find', 'compute', 'determine', etc.) AND has at least one digit in its final 200 characters."
Problem shape,Question word + numeric answer,Granite 3,44.78,%,higher,"Output contains a question cue ('how many', 'what is', 'calculate', 'find', 'compute', 'determine', etc.) AND has at least one digit in its final 200 characters."
Problem shape,Closed final-answer pattern,SmolLM2,19.009999999999998,%,higher,"Output matches a regex for closed answer patterns like 'the answer is N', '= N.', 'therefore ... = N', 'answer: N', or 'total = N'."
Problem shape,Closed final-answer pattern,Qwen3,42.04,%,higher,"Output matches a regex for closed answer patterns like 'the answer is N', '= N.', 'therefore ... = N', 'answer: N', or 'total = N'."
Problem shape,Closed final-answer pattern,Llama 3.2,54.47,%,higher,"Output matches a regex for closed answer patterns like 'the answer is N', '= N.', 'therefore ... = N', 'answer: N', or 'total = N'."
Problem shape,Closed final-answer pattern,Gemma 3,29.37,%,higher,"Output matches a regex for closed answer patterns like 'the answer is N', '= N.', 'therefore ... = N', 'answer: N', or 'total = N'."
